Year,CAT001A,CAT002B,CAT006B,CAT013A,CAT015B,CAT018B,CAT019A,CMM001A,CMM002A,CMM003B,CMM004B,CMM006B,CMM009B,CMM010B,CMM014B,CMM015A,CMM021B,CMM022B,CMM023B,CMM024A,CMM025A,CMM026B,CMM028A,CMM029A,CMM029B,CMM031B,CMM041B,CMM042A,CMM042B,CMM053B,CMM056A,CMM059A,CMM059B,CMM067B,CMM068A,CMM072A,CMM086A,CMM086B,CMM110A,CMM112A,CMM117A,CMM118A,CMM121A,CMM133A,CMM134A
1583,,,,,0.233971624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749181157,,0.390762172,,,1.696093873,
1584,,,,,0.700577436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.847596909,,0.817871854,,,0.256229317,
1585,,,,,0.416573481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732274524,,0.641685785,,,0.552640988,
1586,,,,,1.191041848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.096782841,,1.10037769,,,0.567199777,
1587,,,,,1.366558536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542244985,,1.165196552,,,1.282186733,
1588,,,,,1.307587398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707046016,,1.178647676,,,1.283659511,
1589,,,,,1.554224644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.512204556,,1.310556908,,,0.978399839,
1590,,,0.960075416,,0.615789958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611397183,,0.505721952,,,0.979035197,
1591,,,0.941570903,,1.292174962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.853071975,,1.09594222,,,0.49721954,
1592,,,0.799206519,,0.710961209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667433644,,0.7065483,,,1.230696304,
1593,,,0.764112482,,0.283287682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89021478,,0.739248347,,,0.66981285,
1594,,,0.782876807,,1.589113595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429879337,,1.635388401,,,0.825372489,
1595,,,0.88427182,,0.898967746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770755408,,0.873031506,,,0.831313176,
1596,,,0.96657584,,1.244152602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.239447231,,1.213573791,,,1.203969612,
1597,,,1.073543964,,1.704351564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.097762505,,1.309197065,,,2.055738335,
1598,,,0.873619745,,0.338201073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804212686,,0.417235854,,,0.44948472,
1599,,,1.136718972,,1.866983848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753497649,,1.444685964,,,2.276742049,
1600,,,1.154132466,,0.148908943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646082745,,0.643712968,,,0.284255816,
1601,,,0.746396746,,0.752735288,,,,,0.797841764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658839811,,0.514707637,,,0.241464989,
1602,,,0.730062216,,1.38941453,,,,,1.399293354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.108138932,,0.907791153,0.666919659,,0.985380949,
1603,,,0.959491351,,1.220805941,,,,,1.152858148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.423124234,,0.897474451,0.946527359,,1.330060749,
1604,,,0.823030087,,0.715039888,,,,,0.782845077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.692025596,,0.697421806,0.743063686,,1.382271652,
1605,,,0.911290707,,0.82843302,,,,,1.001398203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014273858,,0.899331377,0.756527054,,1.140089916,
1606,,,1.050329898,,1.077718769,,,,,1.197976645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.191600586,,1.124107141,1.064202316,,1.429771782,
1607,,,0.914137177,,0.731792805,0.234179943,,,,0.789668338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572742714,,1.14185158,0.816274643,,1.004282628,
1608,,,1.033415439,,1.241641164,0.685322226,,,,1.132127434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.108010815,,1.435318957,1.084965434,,1.134572269,
1609,,,1.151067485,,0.999069427,1.107609406,,,,1.107497513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154463739,,1.477541178,0.990708957,,1.108353597,
1610,,,1.542465975,,1.904931378,1.165076694,,,,1.753554972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.670170927,,1.607007653,1.99216416,,1.727588985,
1611,,,1.083872479,,0.989142337,1.252856524,,,,0.789985485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648735017,,1.606318426,0.946201278,,0.908019081,
1612,,,1.657027363,,0.929606671,1.446496193,,,,1.281953729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936891043,,1.092161311,1.507977981,,1.364234588,
