"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"478","HOW2074S",1860,2011,152,0.334,0.276,0.234,1.257,0.3,0.27,0.372,0.834
"479","HOW2077S",1932,2013,82,0.861,0.839,0.423,0.305,0.225,0.196,0.279,0.833
"480","HOW2077N",1933,2013,81,0.891,0.881,0.452,0.321,0.207,0.173,0.287,0.894
"481","HOW2072W",1932,2013,82,1.154,1.061,0.49,0.395,0.188,0.174,0.237,0.758
"482","HOW2081S",1917,2013,97,0.541,0.588,0.374,0.519,0.211,0.183,0.384,0.907
"483","HOW2081N",1917,2006,90,0.364,0.319,0.251,0.858,0.272,0.247,0.377,0.879
"484","HOW2085E",1906,2013,108,0.52,0.438,0.367,0.92,0.23,0.202,0.385,0.915
"485","HOW2085W",1912,2013,102,0.657,0.592,0.444,0.751,0.249,0.186,0.374,0.923
"486","HOW2089W",1931,2013,83,0.807,0.629,0.597,0.713,0.231,0.16,0.41,0.915
"487","HOW2089E",1929,2013,85,0.982,1.037,0.786,0.418,0.24,0.159,0.445,0.939
"488","HOW2092E",1878,2013,136,1.168,1.091,0.577,0.665,0.184,0.168,0.274,0.896
"489","HOW2092W",1875,2013,139,0.839,0.89,0.327,-0.181,0.188,0.173,0.221,0.825
"490","HOW2095W",1877,2013,137,0.585,0.509,0.394,0.364,0.339,0.245,0.381,0.868
"491","HOW2095E",1877,2013,137,0.751,0.695,0.46,0.612,0.278,0.202,0.342,0.893
"492","HOW2097E",1884,2013,130,0.816,0.811,0.544,0.736,0.292,0.25,0.368,0.853
"493","HOW2097W",1912,2013,102,0.627,0.605,0.37,0.373,0.306,0.231,0.335,0.859
"494","HOW2099W",1889,2013,125,0.903,0.883,0.57,0.337,0.215,0.186,0.359,0.907
"495","HOW2099E",1889,2013,125,0.729,0.61,0.479,0.549,0.233,0.185,0.369,0.921
"496","HOW2100W",1932,2013,82,0.609,0.372,0.473,0.577,0.219,0.198,0.425,0.923
"497","HOW3001W",1920,2013,94,0.917,0.884,0.335,0.529,0.206,0.198,0.206,0.718
"498","HOW3001E",1920,2013,94,0.786,0.754,0.305,0.977,0.209,0.196,0.207,0.719
"499","HOW3003S",1874,2005,132,0.548,0.492,0.341,0.479,0.235,0.209,0.351,0.874
"500","HOW3004N",1932,2013,82,1.09,0.956,0.512,1.111,0.195,0.18,0.251,0.884
"501","HOW3004S",1933,2013,81,1.374,1.252,0.547,0.155,0.191,0.168,0.224,0.823
"502","HOW3005S",1897,2013,117,2.13,2.22,0.647,-0.238,0.173,0.168,0.172,0.747
"503","HOW3005N",1873,2013,141,1.189,1.163,0.479,0.394,0.187,0.17,0.227,0.852
"504","HOW3007S",1911,2013,103,1.32,1.364,0.672,0.21,0.247,0.239,0.291,0.789
"505","HOW3007N",1939,2013,75,0.807,0.747,0.481,0.565,0.241,0.221,0.333,0.831
"506","HOW3008E",1904,2013,110,1.057,1.135,0.35,-0.381,0.182,0.167,0.186,0.767
"507","HOW3008W",1904,2013,110,0.954,0.908,0.34,0.306,0.186,0.174,0.2,0.781
"508","HOW3009N",1897,2013,117,0.924,0.881,0.384,0.389,0.238,0.207,0.233,0.794
"509","HOW3009S",1900,2013,114,1.205,1.149,0.47,0.306,0.234,0.202,0.218,0.769
"510","HOW3010W",1884,2013,130,1.069,1.066,0.467,0.041,0.27,0.223,0.247,0.78
"511","HOW3010E",1887,2013,127,1.062,1.027,0.358,0.108,0.266,0.226,0.186,0.624
"512","HOW3011E",1923,2013,91,0.349,0.29,0.187,1.215,0.254,0.253,0.282,0.776
"513","HOW3011W",1920,2013,94,0.296,0.259,0.163,2.013,0.303,0.283,0.269,0.711
"514","HOW3012S",1867,2013,147,0.677,0.637,0.354,0.821,0.244,0.206,0.288,0.808
"515","HOW3012N",1867,2013,147,0.616,0.53,0.345,0.98,0.251,0.218,0.305,0.814
"516","HOW3013N",1898,2013,116,0.653,0.58,0.293,0.661,0.239,0.216,0.25,0.797
"517","HOW3013A",1937,2013,77,0.742,0.655,0.311,0.849,0.197,0.177,0.229,0.845
"518","HOW3014E",1909,2013,105,1.533,1.574,0.575,0.358,0.198,0.198,0.21,0.733
"519","HOW3014I",1809,1906,98,0.863,0.577,0.6,0.513,0.25,0.205,0.387,0.909
"520","HOW3014W",1869,2013,145,1.374,1.336,0.532,0.97,0.199,0.209,0.21,0.68
"521","HOW3019W",1882,2013,132,0.597,0.595,0.347,0.349,0.241,0.219,0.329,0.843
"522","HOW3019E",1864,2013,150,0.541,0.476,0.367,0.836,0.338,0.246,0.374,0.808
"523","HOW3020E",1866,2012,147,0.78,0.726,0.393,0.487,0.243,0.223,0.285,0.824
"524","HOW3020W",1920,2012,93,0.667,0.594,0.298,0.831,0.218,0.215,0.246,0.796
"525","HOW3021N",1863,2013,151,0.443,0.425,0.192,1.073,0.223,0.205,0.234,0.762
"526","HOW3021S",1863,2013,151,0.71,0.621,0.354,0.447,0.228,0.191,0.282,0.856
"527","HOW3022E",1898,2013,116,1.074,1.063,0.455,0.166,0.208,0.179,0.242,0.827
"528","HOW3022W",1898,2013,116,0.683,0.636,0.307,1.058,0.216,0.199,0.241,0.815
"529","HOW3025S",1945,2013,69,0.664,0.591,0.451,0.53,0.232,0.207,0.38,0.89
"530","HOW3025N",1945,2013,69,0.667,0.589,0.454,0.54,0.218,0.205,0.381,0.894
"531","HOW3026E",1926,2013,88,0.944,0.978,0.499,0.393,0.17,0.175,0.297,0.877
"532","HOW3026W",1885,2013,129,1.115,1.099,0.587,0.658,0.204,0.2,0.293,0.818
"533","HOW3027N",1896,2013,118,0.635,0.536,0.394,0.605,0.27,0.211,0.347,0.898
"534","HOW3027S",1896,2013,118,0.937,0.838,0.609,0.603,0.221,0.199,0.363,0.913
"535","HOW3029S",1862,2013,152,1.377,1.316,0.666,0.956,0.217,0.195,0.262,0.863
"536","HOW3029N",1857,2013,157,1.12,1.113,0.477,0.324,0.201,0.192,0.237,0.796
"537","HOW3034E",1906,2013,108,1.08,1.105,0.52,0.575,0.211,0.194,0.268,0.855
"538","HOW3034W",1848,2012,165,0.796,0.709,0.481,0.768,0.256,0.199,0.334,0.891
"539","HOW3035E",1936,2013,78,0.711,0.654,0.524,0.79,0.35,0.226,0.405,0.898
"540","HOW3035W",1940,2013,74,0.478,0.268,0.428,0.842,0.299,0.232,0.484,0.91
"541","HOW3036E",1942,2011,70,0.956,0.766,0.459,1.014,0.144,0.14,0.258,0.85
"542","HOW3036W",1943,2013,71,0.776,0.619,0.504,1.033,0.135,0.111,0.345,0.903
"543","HOW3037E",1854,2013,160,1.102,0.914,0.665,0.82,0.245,0.21,0.333,0.874
"544","HOW3037W",1851,2013,163,1.016,0.916,0.414,0.38,0.208,0.184,0.231,0.839
"545","HOW3038W",1902,2013,112,1.379,1.348,0.791,0.17,0.173,0.152,0.328,0.917
