"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF",1872,0,0,0,0,0,0,0
"VLF1","VLF",1872,0,0,0,0,0,0,0
"VUF0","VUF",1872,0,0,0,0,0,0,0
"VUF1","VUF",1872,0,0,0,0,0,0,0
"VLF0","VLF",1873,0,0,0,0,0,0,0
"VLF1","VLF",1873,0,0,0,0,0,0,0
"VUF0","VUF",1873,0,0,0,0,0,0,0
"VUF1","VUF",1873,0,0,0,0,0,0,0
"VLF0","VLF",1874,0,0,0,0,0,0,0
"VLF1","VLF",1874,0,0,0,0,0,0,0
"VUF0","VUF",1874,0,0,0,0,0,0,0
"VUF1","VUF",1874,0,0,0,0,0,0,0
"VLF0","VLF",1875,0,0,0,0,0,0,0
"VLF1","VLF",1875,0,0,0,0,0,0,0
"VUF0","VUF",1875,0,0,0,0,0,0,0
"VUF1","VUF",1875,0,0,0,0,0,0,0
"VLF0","VLF",1876,0,0,0,0,0,0,0
"VLF1","VLF",1876,0,0,0,0,0,0,0
"VUF0","VUF",1876,0,0,0,0,0,0,0
"VUF1","VUF",1876,0,0,0,0,0,0,0
"VLF0","VLF",1877,0,0,0,0,0,0,0
"VLF1","VLF",1877,0,0,0,0,0,0,0
"VUF0","VUF",1877,0,0,0,0,0,0,0
"VUF1","VUF",1877,0,0,0,0,0,0,0
"VLF0","VLF",1878,0,0,0,0,0,0,0
"VLF1","VLF",1878,0,0,0,0,0,0,0
"VUF0","VUF",1878,0,0,0,0,0,0,0
"VUF1","VUF",1878,0,0,0,0,0,0,0
"VLF0","VLF",1879,0,0,0,0,0,0,0
"VLF1","VLF",1879,0,0,0,0,0,0,0
"VUF0","VUF",1879,0,0,0,0,0,0,0
"VUF1","VUF",1879,0,0,0,0,0,0,0
"VLF0","VLF",1880,0,0,0,0,0,0,0
"VLF1","VLF",1880,0,0,0,0,0,0,0
"VUF0","VUF",1880,0,0,0,0,0,0,0
"VUF1","VUF",1880,0,0,0,0,0,0,0
