year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1939,0.3,-10.5,-9.2,-12.2,-15.6,-6.9,-1.8,3.4,6.8,11.4,9.8,7.9,-0.5,-6.9,-8.7,-1.766666667,7.2
1940,-0.5,-6.9,-8.7,-11.6,-8.9,-6.099999,-2.4,3.9,7.599999,10.9,9.6,6.699999,1,-8.1,-8.7,-1.533333,7.466666333
1941,1,-8.1,-8.7,-11.5,-8.4,-6.599999,-2.4,4.8,6.4,10.1,9.8,5.8,1.4,-6.5,-8.300001,-1.399999667,7.1
1942,1.4,-6.5,-8.300001,-11.3,-10.8,-8.6,-1.2,2.6,7.199999,10.7,10.5,5.599999,0.8000001,-5,-7.6,-2.4,6.833333
1943,0.8000001,-5,-7.6,-9.5,-7.5,-5.9,0.1999999,4.1,7.599999,11.5,11.6,5.5,-0.8,-7.9,-12.1,-0.533333367,7.733333
1944,-0.8,-7.9,-12.1,-13.7,-9.6,-8,-3.5,2.9,7,10.5,10.1,5.599999,1.3,-5.9,-9.1,-2.866666667,6.8
1945,1.3,-5.9,-9.1,-9.699999,-7.199999,-6.9,-4.1,3.8,5.8,11.1,11.5,5.5,0.9,-6.4,-11.7,-2.4,6.9
1946,0.9,-6.4,-11.7,-11.4,-10.6,-6.4,0.3000001,2.3,8.1,11.2,11,6.8,-0.6,-7.099999,-7.7,-1.266666633,7.2
1947,-0.6,-7.099999,-7.7,-12.2,-8.4,-7.8,-4.1,2.8,6.5,10.6,10.5,6.699999,1.5,-8.699999,-12.5,-3.033333333,6.633333333
1948,1.5,-8.699999,-12.5,-11.9,-10.7,-10.1,-0.5,3.8,7.599999,10.6,9.9,5.8,-0.8999999,-9.8,-9.5,-2.266666667,7.333333
1949,-0.8999999,-9.8,-9.5,-13.8,-10.7,-6.4,-1.8,3.9,7.9,11.2,9.1,6.599999,-1.2,-5.3,-13.1,-1.433333333,7.666666667
1950,-1.2,-5.3,-13.1,-12,-8.8,-7.099999,-2.2,1.7,7.3,10.3,8.199999,5.4,2.2,-6,-7.6,-2.533333,6.433333333
1951,2.2,-6,-7.6,-10.5,-9.4,-6.8,-2.1,4.4,6.599999,12.9,10.5,5.9,0.8000001,-7.599999,-9.4,-1.5,7.966666333
1952,0.8000001,-7.599999,-9.4,-8.6,-9.1,-8.4,-1.5,3.7,9.3,11,10.9,6,-0.2,-8.699999,-12.1,-2.066666667,8
1953,-0.2,-8.699999,-12.1,-7.5,-10.5,-5.8,-2.5,1.7,8.9,11.8,9.5,5.9,-0.2,-6,-12,-2.2,7.466666667
1954,-0.2,-6,-12,-9.4,-6.4,-6.599999,1.2,4.1,8.4,12.8,10.3,7.4,2,-5.599999,-10.7,-0.433333,8.433333333
