year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1880,-0.239802,-0.1342782,-0.2808735,-0.4872167,-0.3609679,-0.6015502,-1.278191,-1.943093,-2.109995,1.811503,1.678872,1.690579,1.866117,1.863886,1.95929,-0.4832685,0.2255732
1884,1.866117,1.863886,1.95929,2.044539,2.265535,2.431173,3.865537,3.891501,4.61746,3.63616,3.525691,2.983116,2.436227,1.970232,2.015759,2.328011,3.7307856
1885,2.436227,1.970232,2.015759,1.835432,1.896214,1.918686,2.111666,2.120331,2.09108,1.852258,1.912893,1.791689,1.568746,1.42109,1.545584,2.026316571,1.9536502
1886,1.568746,1.42109,1.545584,1.880045,1.871579,1.85479,2.369964,1.947222,1.817628,1.079469,1.531176,1.876995,1.750276,1.599391,-999.9,1.787399714,1.650498
1887,1.750276,1.599391,-999.9,1.219149,1.146868,0.668721,0.8082237,0.8425347,0.9965715,1.106534,0.9881573,1.365239,1.380625,1.252875,1.132313,-141.8153388,1.0598073
1888,1.380625,1.252875,1.132313,1.039673,0.9122599,0.7624497,0.9687937,-0.1040568,-0.4787527,-0.468299,-0.3811873,-1.513225,-1.299267,-0.754328,-1.087075,1.064141329,-0.58910416
1889,-1.299267,-0.754328,-1.087075,0.5151575,1.151107,-9.01E-03,3.97E-02,-0.3585913,-0.4063856,-0.9070019,-2.008678,-2.084927,-4.09E-02,1.062413,0.7637448,-0.206244891,-1.15311676
1890,-4.09E-02,1.062413,0.7637448,0.6185151,0.6745669,0.5808566,1.084257,-0.5105861,-1.426918,-1.313257,-1.792547,-1.685918,-1.450016,0.3464912,0.1811991,0.677633084,-1.34584522
1891,-1.450016,0.3464912,0.1811991,0.8020586,2.796916,3.210442,3.214227,3.595599,3.385188,3.523538,2.706491,3.095575,2.655514,2.06753,2.411716,1.300188271,3.2612782
1892,2.655514,2.06753,2.411716,2.482028,2.409241,2.676422,2.5944,2.391345,-0.1099417,-4.04E-02,-0.6251103,-1.06002,0.6687884,-0.3751484,-0.1655028,2.470978714,0.111172044
1893,0.6687884,-0.3751484,-0.1655028,-0.5110184,0.9300537,1.123411,-0.4012365,-0.4461431,-1.514513,0.2649184,1.656011,2.074371,-0.3454269,-0.4861453,-0.6682844,0.181335286,0.40692886
1894,-0.3454269,-0.4861453,-0.6682844,-0.7567133,-0.1751426,-0.1000671,-0.3157912,-0.1554075,-0.2503863,-0.4861293,-0.1031853,-0.5099616,-1.111204,-2.0522,0.2334225,-0.406795829,-0.301014
1895,-1.111204,-2.0522,0.2334225,1.266005,1.595834,1.486107,1.14349,1.829163,1.842874,2.598194,2.593035,1.892463,1.841031,2.053672,2.020226,0.365922071,2.1511458
