year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1980,3.743453,3.574599,3.218108,3.545269,3.878509,4.05826,4.271596,4.551882,-0.2090704,-0.8671691,-1.083923,-0.8544363,-0.9137515,-0.945051,-1.144209,3.755684857,0.30745664
1981,-0.9137515,-0.945051,-1.144209,-1.366579,-1.593258,1.009649,0.7125396,0.8444723,0.9337866,0.9798402,1.263957,1.250003,1.284668,0.9874265,0.6729689,-0.605808557,1.05441182
1982,1.284668,0.9874265,0.6729689,0.7919721,1.279807,1.628179,1.317048,1.393743,0.9772209,0.7910726,1.082339,1.646069,1.327715,1.441685,1.577034,1.1374385,1.1780889
1983,1.327715,1.441685,1.577034,1.499838,1.566443,2.002946,2.00492,1.817495,1.804983,1.469258,1.301033,1.213167,1.122056,1.312863,1.626877,1.631511571,1.5211872
1984,1.122056,1.312863,1.626877,1.499348,1.351132,1.583392,1.575225,1.237514,1.549138,1.24633,1.713347,1.591184,2.421676,2.215872,2.476017,1.438699,1.4675026
1985,2.421676,2.215872,2.476017,2.409266,2.353306,3.17126,4.282184,4.396831,4.342854,3.894674,3.195245,3.712412,4.008123,3.777985,3.194751,2.761368714,3.9084032
1986,4.008123,3.777985,3.194751,2.526119,2.508335,2.236418,2.432507,2.395298,3.115982,3.062754,2.690024,3.086055,3.380754,3.903035,3.595232,2.954891143,2.8700226
1987,3.380754,3.903035,3.595232,3.606162,3.838164,3.832314,3.723337,4.136344,4.073837,3.063624,3.045148,2.472693,2.009994,2.180684,2.229239,3.696999714,3.3583292
1988,2.009994,2.180684,2.229239,2.310894,2.20715,2.030818,2.248708,2.290092,2.966848,2.889095,3.421812,3.506443,2.852432,2.613199,2.252561,2.173926714,3.014858
1989,2.852432,2.613199,2.252561,2.15883,2.329951,2.138261,-0.408253,-0.6905514,-0.836682,-0.6974184,-0.7996277,-0.736293,-0.459529,-1.474952,-1.748822,1.990997286,-0.7521145
1990,-0.459529,-1.474952,-1.748822,1.88E-02,0.4134848,0.9605715,2.118252,1.790617,1.245502,1.767514,1.692553,2.234525,1.910183,2.086598,2.391158,-0.024604766,1.7461422
1991,1.910183,2.086598,2.391158,2.158845,1.901166,2.14216,1.698187,1.804698,2.122958,2.376266,2.529768,2.806074,2.262929,2.838246,3.129634,2.041185286,2.3279528
1992,2.262929,2.838246,3.129634,2.829792,2.618052,2.781718,2.496862,3.396427,3.228134,2.858398,2.957256,2.352946,1.817343,1.848901,2.139796,2.708176143,2.9586322
1993,1.817343,1.848901,2.139796,2.633477,3.230305,3.365375,3.358564,3.723618,3.521945,2.68336,3.494188,2.948696,2.581685,2.589101,2.111671,2.627680143,3.2743614
1994,2.581685,2.589101,2.111671,1.693915,1.605388,1.679631,1.89124,2.50458,2.042751,1.389473,1.420394,1.485647,1.74427,2.242287,2.032413,2.021804429,1.768569
1995,1.74427,2.242287,2.032413,2.047,1.833507,1.934755,2.165327,2.521654,2.64428,-0.4184023,-0.377892,0.3408718,-0.4997418,-0.7315305,-0.9001541,1.999937,0.9421023
1996,-0.4997418,-0.7315305,-0.9001541,-1.369941,-1.916003,-2.373465,-3.052562,-4.22593,1.950747,1.533105,1.492299,1.858847,1.995348,1.98716,1.603642,-1.549056771,0.5218136
1997,1.995348,1.98716,1.603642,2.089027,2.265047,1.946177,2.517886,2.743574,3.083067,3.07211,3.077139,3.626276,3.266631,3.255441,3.26214,2.057755286,3.1204332
1998,3.266631,3.255441,3.26214,2.759494,2.716493,3.021472,2.974502,2.224428,1.552814,2.271649,2.044047,1.733001,2.6493,2.795252,2.320359,3.036596143,1.9651878
1999,2.6493,2.795252,2.320359,1.814782,1.259152,0.9587831,1.760307,1.989513,1.975881,2.382963,2.962801,2.852913,-0.3545414,-0.7339608,-0.9475967,1.936847871,2.4328142
2000,-0.3545414,-0.7339608,-0.9475967,-1.106155,-1.309246,1.607431,-0.2032304,-0.7200972,-0.491547,-0.7259907,-1.264822,-2.384948,2.326451,2.476739,2.096543,-0.435328471,-1.11748098
2001,2.326451,2.476739,2.096543,2.239821,2.34977,2.418072,2.252359,2.57E-04,-0.2033228,-0.1938695,0.263649,-0.3854848,-0.7226669,-0.5459209,-0.5367883,2.308536429,-0.103754151
2002,-0.7226669,-0.5459209,-0.5367883,-0.5608188,-0.9501249,-1.764638,-2.579956,-3.703998,-3.393453,-2.956624,-3.729363,2.360579,2.517067,2.357138,2.192771,-1.094416257,-2.2845718
2003,2.517067,2.357138,2.192771,1.586733,1.802632,1.830918,-0.327145,-0.6119187,-0.6908051,-1.2919,-1.458663,0.8348569,0.3831772,0.8051133,0.2257911,1.708587714,-0.64368598
2004,0.3831772,0.8051133,0.2257911,0.1722553,1.994161,1.804128,3.049831,2.238885,1.996798,1.710901,1.22881,1.337771,1.500262,1.634789,1.523723,1.204922414,1.702633
2005,1.500262,1.634789,1.523723,1.850708,2.300612,2.649795,2.841691,2.723758,-4.05E-02,-0.6740015,1.02E-04,0.4833239,0.5852804,-0.3960627,-0.6545708,2.043082857,0.498537481
2006,0.5852804,-0.3960627,-0.6545708,-0.9880149,-1.852291,-1.7507,-2.161594,-2.907479,-2.573413,1.966147,2.645321,2.741209,2.838343,2.255424,2.48076,-1.031136143,0.374357
2007,2.838343,2.255424,2.48076,2.489799,2.348947,2.184646,2.236736,2.585032,2.49557,2.376311,1.916254,2.038825,1.533348,1.145116,1.777825,2.404950714,2.2823984
2008,1.533348,1.145116,1.777825,1.97723,2.035061,1.941774,1.852425,1.828622,-9.35E-02,-0.2478644,-0.2184064,-0.4025974,-0.34973,-0.4209946,-0.2996765,1.751825571,0.173254726
2009,-0.34973,-0.4209946,-0.2996765,-0.4554737,-1.251017,-1.537842,-1.362474,-1.300705,0.6762714,-0.5338064,-1.913603,0.7041697,1.05196,0.7539383,0.6323055,-0.811029686,-0.47353466
2010,1.05196,0.7539383,0.6323055,0.7535775,1.004653,1.095276,-0.1287546,-0.475756,-1.240055,-0.6476638,-2.039995,-1.9194,-1.660422,-2.081892,-2.223943,0.7375651,-1.26457396
