"Site.Name","Year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Austin Cary FL","1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7982992391487,15.6929152312683,24.1937833511014,25.7277514468409,29.8442103504057,33.1952621115553,32.9148982731928,32.9718677932896,30.8366171009478,26.695441943571,22.161296327758,18.5108710498106
"Austin Cary FL","1896",19.7982992391487,15.6929152312683,24.1937833511014,25.7277514468409,29.8442103504057,33.1952621115553,32.9148982731928,32.9718677932896,30.8366171009478,26.695441943571,22.161296327758,18.5108710498106,17.9122453854507,19.6697315098713,23.2510318533885,27.876298227812,32.0392554580451,31.8642072663501,33.0170563629533,33.3688888663003,30.9430096238722,26.4076815861048,24.8754228134338,17.9201345102649
"Austin Cary FL","1897",17.9122453854507,19.6697315098713,23.2510318533885,27.876298227812,32.0392554580451,31.8642072663501,33.0170563629533,33.3688888663003,30.9430096238722,26.4076815861048,24.8754228134338,17.9201345102649,17.5537531903989,21.8937683471928,26.5347824496402,26.5227031286505,30.1252641441167,34.8504626330797,33.1814683362167,32.9811782734068,28.7512078328252,26.588971900335,24.0162053811737,20.4564414700218
"Austin Cary FL","1898",17.5537531903989,21.8937683471928,26.5347824496402,26.5227031286505,30.1252641441167,34.8504626330797,33.1814683362167,32.9811782734068,28.7512078328252,26.588971900335,24.0162053811737,20.4564414700218,21.7098002168883,20.057925049081,25.2069275134626,26.0634342795906,31.6593700469631,34.2736516261931,33.4800423809875,32.3822670930968,30.8598242107881,25.9488508506149,22.8316367708571,17.5633293225416
"Austin Cary FL","1899",21.7098002168883,20.057925049081,25.2069275134626,26.0634342795906,31.6593700469631,34.2736516261931,33.4800423809875,32.3822670930968,30.8598242107881,25.9488508506149,22.8316367708571,17.5633293225416,18.6122049208717,18.4767873624723,25.368594937133,25.1414739746243,32.8054711353667,34.1696712814523,32.9207601802461,33.6995927489697,30.5109818606211,27.1440164736193,23.6205407217495,18.8290875532195
"Austin Cary FL","1900",18.6122049208717,18.4767873624723,25.368594937133,25.1414739746243,32.8054711353667,34.1696712814523,32.9207601802461,33.6995927489697,30.5109818606211,27.1440164736193,23.6205407217495,18.8290875532195,17.2393961776911,19.2033440630034,22.3751740471583,26.5412528984547,29.613810661641,31.8092479768526,34.2503209141841,34.3252114901949,31.9958408355184,28.8767046769483,23.8767577706899,19.1677451916599
"Austin Cary FL","1901",17.2393961776911,19.2033440630034,22.3751740471583,26.5412528984547,29.613810661641,31.8092479768526,34.2503209141841,34.3252114901949,31.9958408355184,28.8767046769483,23.8767577706899,19.1677451916599,20.5074383519537,18.7583521227758,23.2204398146351,25.2043375068109,31.1919507334905,31.3771238468469,32.8600670496319,31.9243993494871,30.4565966619362,26.9567046006544,20.3302043794735,19.1100341717732
"Austin Cary FL","1902",20.5074383519537,18.7583521227758,23.2204398146351,25.2043375068109,31.1919507334905,31.3771238468469,32.8600670496319,31.9243993494871,30.4565966619362,26.9567046006544,20.3302043794735,19.1100341717732,19.4534495157859,17.6891147438328,24.1223149824425,27.1990294509785,32.7367172454202,33.3634169474019,33.9355621204773,33.2542413715288,31.0721616695142,28.2353998580046,25.0060781902035,21.2171244951684
"Austin Cary FL","1903",19.4534495157859,17.6891147438328,24.1223149824425,27.1990294509785,32.7367172454202,33.3634169474019,33.9355621204773,33.2542413715288,31.0721616695142,28.2353998580046,25.0060781902035,21.2171244951684,17.7253277418539,21.9693935009003,25.6347122491633,26.1678401376965,29.1248323281438,31.3026855187202,32.736333231493,33.2771008245809,30.6418980845795,27.1817507465574,22.8325335431791,17.6802617012352
"Austin Cary FL","1904",17.7253277418539,21.9693935009003,25.6347122491633,26.1678401376965,29.1248323281438,31.3026855187202,32.736333231493,33.2771008245809,30.6418980845795,27.1817507465574,22.8325335431791,17.6802617012352,17.8613925324676,22.0042984293038,26.2201215172859,26.7659513232235,31.1512838688365,32.155014994468,32.5437755358307,32.109390829772,32.013097614599,27.5675384666312,21.8529648826777,20.0533142335692
"Austin Cary FL","1905",17.8613925324676,22.0042984293038,26.2201215172859,26.7659513232235,31.1512838688365,32.155014994468,32.5437755358307,32.109390829772,32.013097614599,27.5675384666312,21.8529648826777,20.0533142335692,17.6880643465171,18.8181210965488,25.2971845737739,27.1526060339662,32.4391137573765,32.531421870113,33.0457634944823,31.9738504430361,31.8184999116951,27.4442103158407,25.0640594865903,18.4411260506302
"Austin Cary FL","1906",17.6880643465171,18.8181210965488,25.2971845737739,27.1526060339662,32.4391137573765,32.531421870113,33.0457634944823,31.9738504430361,31.8184999116951,27.4442103158407,25.0640594865903,18.4411260506302,19.4639720755704,20.0764793941075,23.1999858118704,27.6682013667119,29.5173178416563,32.8800892955091,32.0394605077711,32.8967147296897,32.5393181010356,26.3209095079539,24.9701550255705,20.9377551534229
"Austin Cary FL","1907",19.4639720755704,20.0764793941075,23.1999858118704,27.6682013667119,29.5173178416563,32.8800892955091,32.0394605077711,32.8967147296897,32.5393181010356,26.3209095079539,24.9701550255705,20.9377551534229,23.8638711681586,22.1786953450523,29.4746396007774,25.7583669828664,31.2613314309373,33.1745144740123,32.7476426770643,32.9779490603033,31.6990263251939,27.230618148147,23.4309317767376,19.412224453813
"Austin Cary FL","1908",23.8638711681586,22.1786953450523,29.4746396007774,25.7583669828664,31.2613314309373,33.1745144740123,32.7476426770643,32.9779490603033,31.6990263251939,27.230618148147,23.4309317767376,19.412224453813,18.9516046731463,18.8683038740295,27.5379675229835,30.4121146435938,31.3534616312642,32.1334897546472,32.2830549271535,32.4501164270708,30.154900678454,25.7744529342752,24.2899403977302,22.7472979485797
"Austin Cary FL","1909",18.9516046731463,18.8683038740295,27.5379675229835,30.4121146435938,31.3534616312642,32.1334897546472,32.2830549271535,32.4501164270708,30.154900678454,25.7744529342752,24.2899403977302,22.7472979485797,22.093414530332,21.6602716724553,25.2996217691127,28.2020087591401,30.3794634395363,33.3925182718238,31.6037668603251,32.4504003596597,30.7095185249482,27.9377370878489,25.6044398815901,17.8123883174739
"Austin Cary FL","1910",22.093414530332,21.6602716724553,25.2996217691127,28.2020087591401,30.3794634395363,33.3925182718238,31.6037668603251,32.4504003596597,30.7095185249482,27.9377370878489,25.6044398815901,17.8123883174739,18.8838789291215,19.6345192047438,25.4394990479063,27.8213661969665,30.9842599749196,31.3409587092691,31.9016790507403,31.6560470223974,31.8031532011095,27.7443727218339,21.9159647950032,17.5309394614065
"Austin Cary FL","1911",18.8838789291215,19.6345192047438,25.4394990479063,27.8213661969665,30.9842599749196,31.3409587092691,31.9016790507403,31.6560470223974,31.8031532011095,27.7443727218339,21.9159647950032,17.5309394614065,21.7844419428116,23.68721196031,25.4919729761817,28.3955000872434,29.7560721186564,34.004880019628,32.9231536243082,31.8069306915685,32.6934377264298,30.1842380838465,23.3343032930664,21.986684435361
"Austin Cary FL","1912",21.7844419428116,23.68721196031,25.4919729761817,28.3955000872434,29.7560721186564,34.004880019628,32.9231536243082,31.8069306915685,32.6934377264298,30.1842380838465,23.3343032930664,21.986684435361,18.3663237143106,17.7978619524756,24.2748401616415,28.04147373727,31.0554801477245,30.5123420173604,32.6240510779932,32.3511299019242,31.4374953868233,28.6172300713389,22.2757407293134,21.6709904893302
"Austin Cary FL","1913",18.3663237143106,17.7978619524756,24.2748401616415,28.04147373727,31.0554801477245,30.5123420173604,32.6240510779932,32.3511299019242,31.4374953868233,28.6172300713389,22.2757407293134,21.6709904893302,23.874041944779,21.1286224002606,24.9100278280093,26.5267898172147,30.393092616178,31.9804314063354,33.2672042474258,32.1920479895326,30.6187505450822,27.213988731706,23.8128775785965,19.9662509481993
"Austin Cary FL","1914",23.874041944779,21.1286224002606,24.9100278280093,26.5267898172147,30.393092616178,31.9804314063354,33.2672042474258,32.1920479895326,30.6187505450822,27.213988731706,23.8128775785965,19.9662509481993,19.1479983492499,19.4383618563441,21.3510472390643,27.6827638986149,30.827111968723,34.4797546121903,32.7260424886066,33.3238085276777,30.256004898507,27.6336609381428,23.0239321691248,18.3080457085614
"Austin Cary FL","1915",19.1479983492499,19.4383618563441,21.3510472390643,27.6827638986149,30.827111968723,34.4797546121903,32.7260424886066,33.3238085276777,30.256004898507,27.6336609381428,23.0239321691248,18.3080457085614,18.8328302393253,19.7921441643906,19.3762787924991,25.6695113068129,31.8130278304543,32.7101878134023,33.020066897044,33.5721098688965,32.3154196615567,28.5605452708793,25.490480499326,18.8690870521209
