year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1901,,,,-0.1999999,1.3,1.7,6.9,12.6,17.7,21.1,19.9,14.8,10.3,4.7,0.5
1902,10.3,4.7,0.5,-1.3,0.6,1.2,10.1,13.6,20.3,19.7,19.6,15,10,2.9,-2
1903,10,2.9,-2,-2.2,-4.4,2.4,8,12.9,15.9,20.6,18.9,14.2,9.1,3.4,-1.4
1904,9.1,3.4,-1.4,-2.8,4.2,5.8,9.4,14.1,16.3,19.1,18.8,15.6,9.300001,4,-0.3000001
1905,9.300001,4,-0.3000001,-1,-0.6,4.8,7.9,13.3,19.2,20.2,20.3,14.9,9.6,4.3,-3.4
1906,9.6,4.3,-3.4,-2.4,1.8,4.900001,9.199999,12.9,18.7,20.6,19.5,14.6,8.2,3.1,2
1907,8.2,3.1,2,1.2,4.400001,5.900001,8.1,10.4,16.3,20.9,19,14.8,10.3,2.7,-0.3000001
1908,10.3,2.7,-0.3000001,-1.2,0.6,4.900001,7.8,10.8,18.3,20.5,19.4,13.7,7.300001,1,-2.7
1909,7.300001,1,-2.7,2.1,0.5,1.6,6.9,11.1,18.9,21.9,20,14.7,10,4.400001,-6.2
1910,10,4.400001,-6.2,-0.9,-1.3,6,8.1,13.7,19.6,21.5,20,16.6,9.5,5,0.1999999
1911,9.5,5,0.1999999,2.5,0.5,5.2,8.8,13.3,17.9,19.6,19,16.3,8.6,1.3,-5
1912,8.6,1.3,-5,-1.6,-0.6,3.2,5.8,12.4,16.9,20,18.9,13.1,8.7,2,-4.1
1913,8.7,2,-4.1,-5.099999,-0.8000001,1.4,7.599999,13.4,18,20.8,19.9,14,8.6,5.1,-5.2
1914,8.6,5.1,-5.2,-0.1999999,0.3,3,8.4,13.3,18.2,20.1,19.2,15.9,9.7,4.1,-2.4
1915,9.7,4.1,-2.4,-3.4,1.00E-01,1.2,8.699999,11.3,18.1,20.2,18.1,14.9,9.7,2.9,-0.8000001
1916,9.7,2.9,-0.8000001,-0.1,2.4,5.400001,8,13.3,18.8,21.1,19.3,15.4,10.4,2,-2.4
1917,10.4,2,-2.4,-1.7,-0.8000001,0.2000003,6.099999,9.1,17.9,21.9,19.2,15.9,10.4,4.7,1.6
1918,10.4,4.7,1.6,-4.4,1.5,4.5,6.8,12.6,20.4,21.1,19.4,15.3,10.6,1.5,-3.6
1919,10.6,1.5,-3.6,-7.099999,-3,0.6000001,8.4,13.5,16.9,20.8,19.2,15.6,9.2,2.6,0.3
1920,9.2,2.6,0.3,-0.3000001,2.6,1.7,5,13.1,18.2,21.2,18.6,14.5,8.4,2.6,-2.9
1921,8.4,2.6,-2.9,-0.9,1.5,5.3,6.099999,12.6,17.6,20.4,19.2,16.2,11.1,3.9,2.5
1922,11.1,3.9,2.5,-3.8,-1.00E-01,2.2,6.9,12.9,19.6,22.1,20.6,15.6,9,1.6,1.3
1923,9,1.6,1.3,0.4000002,-0.3,0.9000001,7.8,13.8,18.6,21.1,18.7,13.1,7.5,3.1,-0.9
1924,7.5,3.1,-0.9,-5.199999,1.6,-1.00E-01,6.599999,13.3,19.6,20.8,19.6,14.8,9.6,4.6,-4.3
1925,9.6,4.6,-4.3,-6.599999,0.9,4.3,8.9,15.2,19.6,21,18.7,15,9.6,1.4,-2.4
1926,9.6,1.4,-2.4,-6,1.3,2.4,7.699999,12.3,18.5,20.1,19.3,16.2,10.7,3.6,-2.2
1927,10.7,3.6,-2.2,1.8,3.8,2.8,8.3,13.2,18.2,21.1,18.2,15,10,5.2,-3.5
1928,10,5.2,-3.5,0.1,-1.00E-01,4.2,7.3,12.5,18.2,20.5,18.2,15,10.5,2.8,-3.3
1929,10.5,2.8,-3.3,-2.5,-2.5,2.5,7.099999,12.7,18.6,21,19.4,14.8,9.6,0,-0.6000001
1930,9.6,0,-0.6000001,-3.9,3.1,1.6,10.4,11.2,18.9,20.7,19.4,14,9.4,1.2,-4.1
1931,9.4,1.2,-4.1,-3.5,1.4,1.6,8.699999,12.3,19.2,21.6,19.3,17.1,11.5,1.9,-3.6
1932,11.5,1.9,-3.6,-5.5,2.9,1.8,8.3,12.9,17.3,21.5,20.3,14.6,8.9,3,-4.3
1933,8.9,3,-4.3,-3.6,-4.2,3.7,4.8,10.5,17.4,20.3,18.2,16.8,11.1,4.2,0.4000001
1934,11.1,4.2,0.4000001,-1.6,3.2,5.2,9,14.6,17.2,21.3,20.2,14.5,11.3,3.6,-0.7
1935,11.3,3.6,-0.7,0.3000001,0.2,3.3,7.5,9.8,17.3,20,19.1,14.1,9.9,2.7,-1.5
1936,9.9,2.7,-1.5,-2.3,0.9,3.7,8.199999,13.3,18.7,20.1,19.7,14.2,9.2,2.5,-0.9
1937,9.2,2.5,-0.9,-6,-0.9,1.8,7.5,13.2,16.5,19.7,20.1,16,10.3,3.8,0.1
1938,10.3,3.8,0.1,-2.4,0.7,3.4,7.3,12.1,17.4,18.9,19.4,14.8,10.3,0.4000001,0.3
1939,10.3,0.4000001,0.3,-3.3,-5.699999,3,8.699999,13.5,17.9,19.9,19,16.6,10.1,3.6,1.4
1940,10.1,3.6,1.4,-3.1,-0.3,4.5,7.9,13.7,17.7,20.2,18.5,15.5,11.2,1.3,-0.7
1941,11.2,1.3,-0.7,-3.6,0.2,1.9,5.699999,13,15.6,18.9,18.5,14.4,9.7,3.9,0
1942,9.7,3.9,0,-1.7,-1.7,1.4,8.1,12.7,17.8,20.1,18.8,15,10,5.6,1.1
1943,10,5.6,1.1,-0.6,2.6,4.1,10.9,13.7,17.7,20.5,20.3,15.4,9.5,3.1,-3.900001
1944,9.5,3.1,-3.900001,-5.199999,-0.6999999,1.7,6.099999,12.6,17.2,19.3,19.2,15.1,10.8,2.8,-0.7
1945,10.8,2.8,-0.7,-1,2.2,2.6,6.3,14,16.7,20.2,20.2,15.7,11.2,4.8,-2.3
1946,11.2,4.8,-2.3,-2.4,0.3,3.8,11.1,12,19.3,20.2,19.1,16.4,9.4,1.9,2
1947,9.4,1.9,2,-2.4,1.8,3.4,7.599999,14.1,17,20.9,19,16.8,11.7,1.1,-2.1
1948,11.7,1.1,-2.1,-2.9,-2.2,-0.8,10.1,13.9,17.5,20.6,19.7,16,9.7,1,0.3
1949,9.7,1,0.3,-4.8,-1.4,3.9,8.1,13.1,17.4,19.9,18.9,16.6,9.300001,6.5,-2.6
1950,9.300001,6.5,-2.6,-1.3,2.7,2.9,9.3,12.9,18.3,19.1,18.2,14.5,13.4,5.2,2.3
1951,13.4,5.2,2.3,-1.1,0.3,2.9,7.5,13.7,17.5,22.1,19.4,16.4,10.9,2.1,-1.2
1952,10.9,2.1,-1.2,-0.1999999,-0.4,0.6000001,8,13.4,19.4,19.6,19.7,15.7,11.3,0.6000001,-3.5
1953,11.3,0.6000001,-3.5,1.9,-0.8000001,4,7.4,11.1,19.4,20.7,19.1,16.4,10.6,4,-2.9
1954,10.6,4,-2.9,0,4.3,2.8,11.6,14.3,18.7,21.6,19.2,17.1,12.1,5.300001,-1
1955,12.1,5.300001,-1,-2.4,-2.7,3.3,7.5,12.4,17.2,19.7,19.5,16.5,11.5,3.8,1.7
1956,11.5,3.8,1.7,1.5,-2,4.3,7.599999,15.4,20.2,20.2,18.7,17.5,11.1,1.1,-1
1957,11.1,1.1,-1,0.5000001,4.5,3.3,6.8,11.1,17.9,20.4,18.8,15.1,9.6,0.3,-0.3000001
