year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cool.p,warm.p
1946,13.2,0.3000011,19.9,8.4,8.000001,33.2,3.799999,17.3,3.299999,49.2,100.3,39.4,45.4,33.6,4.400002,86.8000011,209.499999
1947,45.4,33.6,4.400002,10.9,14.4,11.3,2.1,50.7,10.9,15.1,95.3,22.6,30.1,35.3,37,122.100002,194.6
1948,30.1,35.3,37,42.2,40.4,36.1,10.7,55.7,100.1,56.5,71.4,26,62.7,3.199999,1.700001,231.8,309.7
1949,62.7,3.199999,1.700001,59,11.6,17.1,56.5,40.4,87.7,87.5,57.1,54.40001,17,0.3000011,16.8,211.8,327.10001
1950,17,0.3000011,16.8,22.4,11.6,4.499998,16.6,0.9000015,22.7,85.5,27.2,55.4,0.7999992,3.5,3.400002,89.1999991,191.7000015
1951,0.7999992,3.5,3.400002,9.400002,13.8,2.9,24.8,25.7,7.099998,60.7,88.49999,4,10.5,27.9,17.6,58.6000032,185.999988
1952,10.5,27.9,17.6,24.7,34,15.9,27.4,23.1,31.1,97.9,63.3,14.1,0.5999985,32.6,17.7,158,229.5
1953,0.5999985,32.6,17.7,6.800001,17.1,17.1,8.200001,20.7,26.6,64.1,37.8,3.900002,27,37.1,21.5,100.1000005,153.100002
1954,27,37.1,21.5,13.2,1.500002,29,0.5,40.2,11.7,71.4,39.9,38.8,37.5,4,19.4,129.800002,202
1955,37.5,4,19.4,9.200001,14.8,1.099998,9.600002,36.7,6.199999,69.1,100.1,26.8,7.099998,3.299999,9.300001,95.600001,238.899999
1956,7.099998,3.299999,9.300001,20.3,13.2,0.8999996,0.1000004,4.900002,12.3,49.2,32.59999,0,3.699999,0.8999996,0.7000008,54.199998,98.999992
1957,3.699999,0.8999996,0.7000008,31.8,18.4,34.3,25.7,33.9,21,83,134.5,4.300003,136.1,78.8,7.500002,115.4999994,276.700003
1958,136.1,78.8,7.500002,21.5,39.9,52.3,47.2,14.8,11.6,18.1,48.9,60.8,35.8,21.7,14,383.300002,154.2
1959,35.8,21.7,14,8.300002,15.1,9.5,29.2,42.2,41.7,54.1,62.6,6.199997,70.3,1.099998,47.3,133.600002,206.799997
1960,70.3,1.099998,47.3,27.3,33.5,22.5,4.5,10.3,25.8,35.8,53.5,15.3,129.2,13.9,34.9,206.499998,140.7
1961,129.2,13.9,34.9,22.7,11.8,16.7,23,3.500002,20.5,33.1,127,30.2,35.3,23.2,23.9,252.2,214.300002
1962,35.3,23.2,23.9,13.5,16.6,10.4,4.300001,4,13.8,104.4,16.3,67.7,40.5,34.7,18.7,127.200001,206.2
1963,40.5,34.7,18.7,15.8,34.8,16.4,4.300001,12.8,6,25.6,143.5,35.2,29.9,24.2,3.1,165.200001,223.1
1964,29.9,24.2,3.1,4,32.7,7.099998,21.9,21.9,2.4,75,57.1,44.6,0.7000008,30.1,24.4,122.899998,201
1965,0.7000008,30.1,24.4,28.3,34,21.9,29.3,26.8,83.5,98.90001,68.5,38.6,32.9,13.4,69.9,168.7000008,316.30001
1966,32.9,13.4,69.9,14.7,19.5,3.299999,1.500002,3.799999,84.7,29.8,75.4,33.7,4.1,6.499999,22.4,155.200001,227.399999
